dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||R|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
wmSwatchImages/wmWatchesSwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||R|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmWatchesSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||R|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmWatchesVariantAttributeNames|Y||3|text||4000|1||||||||||R|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified.<br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|
wmWatchesIsPrimaryVariant|N|||boolean|||||||||||||R|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||R|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|
wmWatchesFactoryId|N|||integer||12|1||||||||||R|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||R|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||R|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|900|Left|205|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||R|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1000|Left|200|Left||||Active||NULL|
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||R|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1100|Left|200|Left||||Active||NULL|
wmWatchesManufacturerPartNumber|N|||text||4000|1||||||||||R|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|
wmWatchesGender|N|||text||60|1||WMGender1VV||||||||R|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|1300|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmWatchesAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||R|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|1400|Left|200|Left|200|||Active||NULL|
wmWatchesMaterial|Y||3|text||4000|1||||||||||R|N|en|Material|Material makeup of the item. |Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|
wmWatchesWatchBandMaterial|Y||3|text||4000|1||||||||||R|N|en|Watch Band Material|Please enter the text (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|
textileMaterial|N||||||||||||||||R|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|1700|Left|200|Left||||Active||NULL|
avp/shape|N|||text||70|1|N|||||||||R|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|
wmWatchesWatchStyle|Y||3|text||4000|1||||||||||R|N|en|Watch Style|Level of formality or type of dress |Horizontal|Text|1900|Left|200|Left|200|||Active||NULL|
wmWatchesTheme|Y||3|text||4000|1||||||||||R|N|en|Theme|A dominant idea carried in an artwork or piece of furniture Example: Animals  Insects; Automobiles; Space; Baseball; Princesses; (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2000|Left|200|Left|200|||Active||NULL|
wmWatchesMetal|N|||text||4000|1||||||||||R|N|en|Metal|Example: Brass; Copper; Gold-Plated; Goldtone; Platinaire; Platinum; Rhodium; Rose Gold; Silver-Plated; Silvertone; Stainless Steel; Sterling Silver; Titanium; Tungsten; White Gold; Yellow Gold (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|
wmWatchesPlating|N|||text||4000|1||||||||||R|N|en|Plating|Example: Silver; Gold (Please enter text with 4000 character max)|Horizontal|Text|2200|Left|200|Left|200|||Active||NULL|
wmWatchesFinish|N|||text||4000|1||||||||||R|N|en|Finish|Overall finish of the item.|Horizontal|Text|2300|Left|200|Left|200|||Active||NULL|
wmWatchesGemstone|Y||3|text||4000|1||||||||||R|N|en|Gemstone|Example: Amethyst; Aquamarine; Citrine; Coral; Crystal; Cubic Zirconia; Diamond; Emerald; Garnet; Jade; Mother of Pearl; Multigemstone; Onyx; Opal; Pearl; Peridot; Quartz; Ruby; Sapphire; Tanzanite; Tiger's Eye; Topaz; Turquoise (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2400|Left|200|Left|200|||Active||NULL|
wmWatchesGemstoneShape|N|||text||4000|1||||||||||R|N|en|Gemstone Shape|Example: square; rectangle; round; triangle; octagonal; cushion; pear; heart; marquise; oval (Please enter text with 4000 character max)|Horizontal|Text|2500|Left|200|Left|200|||Active||NULL|
wmWatchesCarats|N|||float|30|30|15||||||||||R|N|en|Carats|Example: 3.5 ct (Please select a value from the drop-down below)|Horizontal|Float|2600|Left|200|Left|200|||Active||NULL|
avp/displayScreenType|Y||3|text||70|1|N|||||||||R|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|2700|Left|200|Left||||Active||NULL|
areBatteriesRequired|N|||boolean|||||||||||||R|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|
areBatteriesIncluded|N|||boolean|||||||||||||R|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
avp/batterySize|N|||text||70|1|N|||||||||R|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|3000|Left|200|Left||||Active||NULL|
wmWatchesIsPersonalizable|N|||boolean|||||||||||||R|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||R|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|3200|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||R|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|3300|Left|200|Left||||Active||NULL|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||R|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|3400|Left|200|Left||||Active||NULL|
wmWatchesOccasion|Y||3|text||4000|1||||||||||R|N|en|Occasion|The particular target time, event, or holiday for the product Example: Halloween; Christmas; Wedding; Anniversary (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3500|Left|200|Left|200|||Active||NULL|
wmWatchesPattern|Y||3|text||4000|1||||||||||R|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3600|Left|200|Left|200|||Active||NULL|
wmWatchesCharacter|Y||3|text||4000|1||||||||||R|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3700|Left|200|Left|200|||Active||NULL|
avp/isWaterResistant|N|||boolean|||||||||||||R|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|
avp/isWeatherProof|N|||boolean|||||||||||||R|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|3900|Left|200|Left||||Active||NULL|
wmWatchesPowerType|N|||text||4000|1||||||||||R|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|4000|Left|200|Left|200|||Active||NULL|
